gene,tpm
FBXL7,0.0
ZNF622,41.91
MYO10,0.146
BASP1,245.0
CDH18,0.0
GUSBP1,2.158
CDH12,0.01162
PMCHL1,0.0
PRDM9,0.0
CDH10,0.0
CDH9,0.0
CDH6,0.02339
DROSHA,31.38
C5orf22,34.3
PDZD2,0.1007
GOLPH3,67.91
MTMR12,21.01
ZFR,71.61
SUB1,120.2
NPR3,0.1178
ADAMTS12,1.56
RXFP3,0.0
SLC45A2,0.0
AMACR,6.475
C1QTNF3,4.116
RAI14,8.445
TTC23L,0.03389
RAD1,12.76
BRIX1,92.6
DNAJC21,24.02
AGXT2,0.0
PRLR,9.121
SPEF2,1.21
IL7R,1.853
CAPSL,0.06026
UGT3A1,0.08061
LMBRD2,10.13
SKP2,33.42
NADK2,8.049
NADK2-AS1,1.615
RANBP3L,0.122
SLC1A3,1.524
NIPBL,39.64
NUP155,25.23
WDR70,27.82
GDNF,0.0
EGFLAM,0.0
EGFLAM-AS4,0.0
EGFLAM-AS2,0.0
LIFR,0.1214
OSMR,0.3152
RICTOR,38.5
C9,0.0
DAB2,1.182
TTC33,9.777
PTGER4,47.59
PRKAA1,34.41
RPL37,390.5
CARD6,3.903
C7,0.5617
MROH2B,0.0
C6,0.01444
PLCXD3,0.0
OXCT1,59.08
FBXO4,12.31
GHR,0.04139
CCDC152,22.78
ANXA2R,3.411
NIM1K,0.3402
HMGCS1,97.95
CCL28,12.93
TMEM267,20.71
C5orf34,12.17
PAIP1,42.52
NNT-AS1,11.33
NNT,46.73
FGF10,0.04835
FGF10-AS1,0.0
MRPS30,31.9
HCN1,0.009982
EMB,43.76
PARP8,33.47
ISL1,0.0
ITGA1,1.508
PELO,17.25
ITGA2,0.2854
MOCS2,9.392
FST,0.172
NDUFS4,104.3
ARL15,3.17
HSPB3,0.0
SNX18,0.8739
ESM1,0.0
GZMK,1.071
GZMA,1.454
CDC20B,0.03043
GPX8,0.01922
CCNO,0.0
DHX29,24.17
PLPP1,9.246
SLC38A9,5.469
DDX4,0.0
IL31RA,0.02989
IL6ST,96.99
ANKRD55,0.0
MAP3K1,16.82
SETD9,2.059
MIER3,10.05
GPBP1,93.13
PLK2,4.113
GAPT,0.2926
RAB3C,0.0
PDE4D,2.939
PART1,0.2351
DEPDC1B,39.56
ELOVL7,1.001
ERCC8,11.4
NDUFAF2,34.17
SMIM15,64.0
ZSWIM6,10.41
C5orf64,0.0
KIF2A,69.93
DIMT1,40.49
IPO11,14.01
HTR1A,0.0
RNF180,0.1007
RGS7BP,0.0
SREK1IP1,15.06
CWC27,34.22
ADAMTS6,7.743
CENPK,29.02
PPWD1,53.0
TRIM23,8.352
TRAPPC13,20.13
SGTB,13.89
NLN,13.2
ERBIN,52.11
SREK1,43.25
MAST4,0.1137
CD180,7.185
PIK3R1,37.62
SLC30A5,26.75
CCNB1,119.8
CENPH,105.8
MRPS36,34.65
CDK7,57.16
CCDC125,13.25
AK6,44.3
RAD17,50.35
MARVELD2,2.388
OCLN,1.729
GTF2H2B,0.6704
NAIP,0.3818
PMCHL2,0.0
BDP1,21.78
MCCC2,65.42
CARTPT,0.0
MAP1B,0.2708
MRPS27,50.38
PTCD2,6.338
ZNF366,0.03441
TNPO1,52.92
FCHO2,1.707
TMEM171,0.2674
TMEM174,0.03888
FOXD1,0.06221
BTF3,1319.0
ANKRA2,43.92
UTP15,16.31
ARHGEF28,0.1312
LINC01333,0.0
ENC1,23.57
HEXB,70.77
GFM2,39.8
NSA2,354.1
FAM169A,5.126
GCNT4,0.1232
ANKRD31,0.0
HMGCR,66.92
POLK,36.32
POC5,23.91
SV2C,0.0
IQGAP2,24.98
F2RL2,0.04093
F2R,8.832
F2RL1,0.09249
S100Z,0.07001
CRHBP,0.02724
AGGF1,26.27
ZBED3,5.804
ZBED3-AS1,0.4041
PDE8B,1.074
WDR41,28.33
OTP,1.521
TBCA,87.36
AP3B1,24.65
SCAMP1-AS1,12.48
SCAMP1,8.6
LHFPL2,8.274
ARSB,3.796
DMGDH,0.08183
BHMT2,0.09443
BHMT,0.03022
JMY,16.21
HOMER1,4.164
CMYA5,0.1362
MTX3,17.34
THBS4,0.3211
SERINC5,4.064
SPZ1,0.0
ZFYVE16,11.46
DHFR,25.78
MSH3,15.48
RASGRF2,0.0988
CKMT2-AS1,4.213
CKMT2,0.4856
ZCCHC9,26.52
ACOT12,0.06295
SSBP2,16.18
ATG10,1.86
RPS23,792.8
ATP6AP1L,5.845
TMEM167A,56.2
XRCC4,21.32
VCAN,3.262
HAPLN1,0.0
EDIL3,0.03687
COX7C,428.5
RASA1,136.6
CCNH,37.32
TMEM161B,19.72
MEF2C,88.76
MEF2C-AS1,7.802
LINC01339,0.0
CETN3,27.15
MBLAC2,8.057
POLR3G,15.92
LYSMD3,23.88
ADGRV1,0.2217
ARRDC3,16.46
ARRDC3-AS1,0.7891
NR2F1-AS1,0.1628
NR2F1,0.1015
FAM172A,10.58
POU5F2,0.02475
KIAA0825,0.2707
SLF1,10.72
MCTP1,39.08
FAM81B,0.0
TTC37,88.06
ARSK,6.992
GPR150,3.378
RFESD,2.182
SPATA9,2.177
RHOBTB3,58.27
GLRX,73.05
LINC01554,0.0354
ELL2,62.08
PCSK1,0.1289
CAST,39.01
ERAP1,52.29
ERAP2,35.82
LNPEP,75.08
LIX1,0.0
RIOK2,14.34
RGMB,3.543
RGMB-AS1,0.2267
CHD1,34.32
FAM174A,14.54
ST8SIA4,21.59
SLCO4C1,0.1795
SLCO6A1,0.0
LINC00491,0.0
PAM,21.52
GIN1,6.216
PPIP5K2,13.67
NUDT12,7.738
RAB9BP1,0.0
EFNA5,6.249
FBXL17,3.549
LINC01023,6.746
FER,4.14
PJA2,78.3
MAN2A1,11.68
TMEM232,0.08826
SLC25A46,41.06
TSLP,0.4389
WDR36,49.88
CAMK4,22.52
STARD4,126.3
NREP,16.25
EPB41L4A,0.1686
EPB41L4A-AS1,80.62
APC,7.313
SRP19,28.5
REEP5,44.55
DCP2,38.96
MCC,0.2606
TSSK1B,0.0
YTHDC2,27.25
KCNN2,0.3309
TRIM36,0.2014
PGGT1B,8.399
CCDC112,4.233
CTNNA1P1,0.02507
FEM1C,33.98
CDO1,0.3125
ATG12,27.69
AP3S1,322.4
LVRN,0.1311
COMMD10,26.74
SEMA6A,2.667
LINC00992,0.0
DTWD2,3.792
DMXL1,29.57
TNFAIP8,44.82
HSD17B4,52.66
FAM170A,0.0
PRR16,0.0
SRFBP1,22.39
LOX,0.5321
ZNF474,0.0
SNCAIP,0.4354
SNX2,177.8
SNX24,1.622
PPIC,0.7336
PRDM6,0.03032
CEP120,23.38
CSNK1G3,28.52
ZNF608,31.67
ALDH7A1,2.866
PHAX,20.74
TEX43,0.0
LMNB1,131.5
C5orf63,6.732
MEGF10,0.0317
PRRC1,26.89
CTXN3,0.0
SLC12A2,25.35
FBN2,0.06445
SLC27A6,0.0
ISOC1,42.91
ADAMTS19,0.0
CHSY3,0.0352
HINT1,390.9
LYRM7,26.7
CDC42SE2,118.3
RAPGEF6,23.9
FNIP1,26.19
ACSL6,0.01719
IL3,0.0
CSF2,1.304
P4HA2,7.551
PDLIM4,0.6999
SLC22A4,0.08365
SLC22A5,4.244
IRF1,77.4
IL5,0.1394
RAD50,42.04
TH2LCRR,1.306
IL13,2.803
IL4,0.5017
KIF3A,30.27
SOWAHA,0.8946
SHROOM1,2.304
GDF9,1.403
UQCRQ,154.7
LEAP2,4.184
AFF4,31.59
ZCCHC10,27.1
HSPA4,117.9
FSTL4,0.04226
C5orf15,90.51
VDAC1,444.1
TCF7,63.01
SKP1,44.49
PPP2CA,74.61
CDKL3,1.835
UBE2B,68.4
CDKN2AIPNL,23.9
JADE2,19.66
SAR1B,11.83
SEC24A,38.38
CAMLG,50.44
DDX46,50.07
C5orf24,25.84
TXNDC15,16.01
PCBD2,2.813
CATSPER3,0.6156
PITX1,0.07555
TIFAB,0.7104
NEUROG1,0.04101
CXCL14,1.201
SLC25A48,0.0
IL9,0.0
LECT2,0.0
TGFBI,4.888
SMAD5-AS1,0.0
SMAD5,21.35
TRPC7,0.0
SPOCK1,0.06629
KLHL3,5.872
HNRNPA0,66.51
NPY6R,1.053
MYOT,0.8353
PKD2L2,0.8718
FAM13B,37.91
WNT8A,0.03274
NME5,0.08512
BRD8,24.74
KIF20A,43.09
CDC23,54.75
GFRA3,0.1342
CDC25C,17.0
FAM53C,37.79
KDM3B,54.98
REEP2,1.128
EGR1,58.72
ETF1,105.0
HSPA9,278.2
CTNNA1,58.07
LRRTM2,0.1211
SIL1,16.01
SNHG4,37.14
SNORA74A,2.764
MATR3,11.77
PAIP2,108.8
SLC23A1,7.614
MZB1,193.2
SPATA24,13.8
DNAJC18,5.257
ECSCR,0.1322
UBE2D2,91.22
CXXC5,33.03
PSD2,0.3637
NRG2,1.165
PURA,9.649
IGIP,4.826
CYSTM1,41.17
PFDN1,71.63
HBEGF,4.128
SLC4A9,0.04099
ANKHD1,60.46
SRA1,37.3
SLC35A4,69.13
CD14,11.71
NDUFA2,81.51
TMCO6,23.43
IK,139.1
WDR55,32.18
HARS2,59.92
ZMAT2,142.6
PCDHA2,0.0
PCDHA5,0.0
PCDHA9,0.02067
PCDHA10,0.02863
PCDHAC1,0.0
PCDHAC2,0.0
PCDHB1,0.0
PCDHB2,0.05853
PCDHB3,0.0
PCDHB4,0.01788
PCDHB5,0.04706
PCDHB6,0.04266
PCDHB17P,0.04462
PCDHB7,0.01949
PCDHB8,0.0
PCDHB16,0.03403
PCDHB9,0.0
PCDHB11,0.0
PCDHB12,0.0353
PCDHB13,0.0
PCDHB14,0.0
PCDHB18P,0.0
PCDHB15,0.03433
TAF7,162.5
SLC25A2,0.0
PCDHGA1,0.168
PCDHGA3,0.1015
PCDHGA4,0.05055
PCDHGA8,0.0
PCDHGB5,0.3074
PCDHGA9,0.3196
PCDHGB6,0.4311
PCDHGA10,0.1839
PCDHGB7,0.4175
PCDHGB8P,0.3965
PCDHGC3,0.2525
PCDHGC4,0.0
PCDHGC5,0.0487
DIAPH1,91.15
HDAC3,84.74
RELL2,8.544
FCHSD1,23.31
ARAP3,0.05528
PCDH1,0.0
PCDH12,0.6318
RNF14,20.89
GNPDA1,37.72
NDFIP1,9.149
SPRY4,5.571
SPRY4-IT1,0.5572
FGF1,0.0778
ARHGAP26,4.034
ARHGAP26-AS1,0.0
NR3C1,114.3
HMHB1,2.494
YIPF5,36.33
KCTD16,0.04307
PRELID2,1.381
SH3RF2,0.03938
PLAC8L1,0.5213
RBM27,33.58
POU4F3,0.0
TCERG1,106.9
PPP2R2B,0.01044
STK32A,0.0
DPYSL3,0.1839
JAKMIP2-AS1,0.0
JAKMIP2,0.01564
SPINK1,0.4165
SCGB3A2,0.0
C5orf46,0.0
SPINK5,0.1119
SPINK6,0.0
SPINK13,0.0
SPINK7,0.1165
FBXO38,31.84
HTR4,0.0
ADRB2,0.3179
SH3TC2,0.01245
ABLIM3,0.06325
AFAP1L1,0.3074
GRPEL2,17.71
PCYOX1L,22.28
IL17B,0.1265
CARMN,0.06268
CSNK1A1,61.53
ARHGEF37,0.09306
PPARGC1B,10.64
PDE6A,0.1091
SLC26A2,5.514
TIGD6,2.243
HMGXB3,60.63
CSF1R,4.686
PDGFRB,4.495
CDX1,0.0
SLC6A7,0.03447
CAMK2A,0.07315
ARSI,0.0
TCOF1,41.41
CD74,3382.0
RPS14,1674.0
NDST1,10.42
SYNPO,43.25
MYOZ3,0.09005
RBM22,69.61
DCTN4,36.11
SMIM3,34.2
IRGM,0.5802
ZNF300,1.256
ZNF300P1,0.04375
GPX3,4.937
TNIP1,324.9
ANXA6,376.0
CCDC69,93.71
GM2A,130.1
SLC36A1,3.635
FAT2,0.2306
SPARC,31.51
ATOX1,24.98
G3BP1,83.62
GLRA1,0.0
NMUR2,0.02917
GRIA1,0.07774
FAM114A2,12.97
MFAP3,11.22
GALNT10,79.49
SAP30L,9.776
HAND1,0.0
LARP1,101.6
FAXDC2,0.3381
CNOT8,58.88
GEMIN5,29.24
MRPL22,23.36
SGCD,0.1745
TIMD4,11.74
HAVCR1,0.2544
HAVCR2,28.02
MED7,17.6
ITK,0.6794
CYFIP2,75.79
FNDC9,0.6885
ADAM19,14.4
NIPAL4,0.8245
SOX30,0.03941
THG1L,19.39
LSM11,3.574
CLINT1,76.4
EBF1,41.94
RNF145,52.77
SNORA68,0.0
UBLCP1,49.61
IL12B,0.1486
ADRA1B,0.0
TTC1,73.82
PWWP2A,17.93
FABP6,2.758
CCNJL,0.1155
C1QTNF2,0.05667
ZBED8,5.542
SLU7,45.02
PTTG1,164.1
ATP10B,0.1181
GABRB2,0.04314
GABRA6,0.02308
GABRA1,0.0
GABRG2,0.01641
CCNG1,321.0
NUDCD2,12.93
HMMR,56.73
HMMR-AS1,0.08104
MAT2B,116.8
TENM2,0.02605
WWC1,0.5405
FBLL1,0.1801
PANK3,42.14
SLIT3,0.07068
SPDL1,20.11
DOCK2,92.18
FOXI1,0.0
LINC01187,0.0
C5orf58,0.9448
LCP2,28.74
LINC01366,1.25
KCNIP1,0.0
KCNMB1,2.556
GABRP,0.0
RANBP17,0.02222
TLX3,0.0
NPM1,1880.0
FGF18,0.0
FBXW11,64.33
STK10,88.0
UBTD2,77.56
SH3PXD2B,1.195
NEURL1B,0.2038
DUSP1,21.85
ERGIC1,47.81
RPL26L1,40.03
ATP6V0E1,211.8
CREBRF,24.41
BNIP1,19.42
NKX2-5,0.1307
STC2,22.81
BOD1,61.28
CPEB4,15.14
C5orf47,0.0
MSX2,0.06026
DRD1,0.0
SFXN1,43.25
HRH2,0.2409
CPLX2,0.009635
SIMC1,8.487
KIAA1191,54.38
ARL10,8.362
NOP16,61.78
HIGD2A,286.3
CLTB,27.2
FAF2,30.59
RNF44,82.39
CDHR2,0.02887
GPRIN1,1.135
SNCB,0.2124
TSPAN17,9.475
UNC5A,0.0
HK3,1.517
UIMC1,51.9
ZNF346,10.39
FGFR4,0.7328
NSD1,18.93
RAB24,52.17
PRELID1,232.7
MXD3,16.83
LMAN2,117.5
RGS14,40.05
SLC34A1,0.07913
F12,3.18
GRK6,58.68
PRR7-AS1,0.3416
PRR7,24.16
DBN1,20.61
PDLIM7,18.9
DOK3,106.9
DDX41,92.28
FAM193B,44.02
TMED9,208.4
B4GALT7,21.7
FAM153A,2.572
PROP1,0.0
N4BP3,18.38
RMND5B,22.74
NHP2,161.1
HNRNPAB,236.4
PHYKPL,31.1
COL23A1,0.9918
CLK4,24.72
ZNF354A,9.214
AACSP1,0.0
ZNF354B,15.84
ZFP2,0.3108
GRM6,0.0
ZNF879,1.233
ZNF354C,6.007
ADAMTS2,0.2718
RUFY1,29.58
HNRNPH1,303.1
CBY3,0.8528
CANX,252.3
MAML1,15.82
MGAT4B,48.59
SQSTM1,68.13
TBC1D9B,37.1
RNF130,1.996
RASGEF1C,0.1155
MAPK9,16.05
GFPT2,0.1711
CNOT6,43.49
SCGB3A1,8.665
FLT4,1.481
MGAT1,27.3
HEIH,55.72
LINC00847,51.61
ZFP62,20.57
BTNL8,0.0
BTNL3,0.02803
BTNL9,31.55
TRIM7,0.5929
TRIM41,26.82
TRIM52,22.88
TRIM52-AS1,19.86
DUSP22,150.3
IRF4,379.5
EXOC2,28.06
HUS1B,1.268
FOXQ1,0.05924
FOXF2,0.06548
FOXCUT,0.0
FOXC1,0.3484
GMDS,20.33
LINC01600,0.0
MYLK4,0.02356
WRNIP1,24.89
SERPINB1,21.36
SERPINB9P1,14.9
SERPINB9,167.8
SERPINB6,6.219
NQO2,2.019
RIPK1,10.65
BPHL,5.5
TUBB2A,2.693
TUBB2B,1.828
PSMG4,6.634
SLC22A23,2.351
PXDC1,3.732
FAM50B,17.63
PRPF4B,68.59
FAM217A,0.2189
C6orf201,1.436
ECI2,40.13
CDYL,35.62
RPP40,6.461
LYRM4,8.098
FARS2,10.07
NRN1,10.22
F13A1,16.62
LY86-AS1,6.889
LY86,158.0
RREB1,24.61
SSR1,37.59
CAGE1,0.0
RIOK1,44.06
DSP,0.2863
SNRNP48,19.71
BMP6,0.5167
EEF1E1,26.88
SLC35B3,32.04
OFCC1,0.4696
TFAP2A,0.2423
TFAP2A-AS1,2.554
LINC00518,0.0
GCNT2,1.995
C6orf52,1.3
PAK1IP1,54.92
TMEM14C,129.4
TMEM14B,33.8
MAK,0.2153
GCM2,0.0
SYCP2L,0.1157
ELOVL2,0.0
ELOVL2-AS1,0.0
SMIM13,6.901
ERVFRD-1,0.0
NEDD9,25.67
TMEM170B,7.174
ADTRP,4.104
HIVEP1,17.83
EDN1,2.22
PHACTR1,18.82
TBC1D7,11.5
GFOD1,18.01
SIRT5,12.38
NOL7,115.9
RANBP9,54.01
MCUR1,13.22
RNF182,0.0
CD83,296.4
JARID2,46.2
JARID2-AS1,1.203
DTNBP1,22.29
MYLIP,95.37
GMPR,3.908
ATXN1,14.86
RBM24,0.0
CAP2,0.07522
FAM8A1,15.44
NUP153,94.32
KIF13A,0.2857
TPMT,15.37
KDM1B,21.35
DEK,204.0
RNF144B,0.8195
ID4,0.2334
MBOAT1,33.85
E2F3,19.38
CDKAL1,16.44
SOX4,44.36
CASC15,0.0279
NBAT1,0.0
PRL,0.4513
HDGFL1,0.06292
NRSN1,0.0
DCDC2,0.1088
KAAG1,0.1738
MRS2,25.11
GPLD1,0.7167
ALDH5A1,12.93
KIAA0319,0.0
TDP2,42.17
ACOT13,12.55
C6orf62,186.8
GMNN,55.6
CMAHP,28.41
CARMIL1,1.766
SCGN,0.0
SLC17A4,0.0
SLC17A1,0.0
SLC17A3,0.04137
SLC17A2,0.0
TRIM38,32.1
HFE,0.7405
BTN3A2,102.8
BTN2A2,42.55
BTN3A1,55.87
BTN2A3P,6.976
BTN3A3,61.33
BTN2A1,37.4
BTN1A1,0.04725
HCG11,6.643
HMGN4,171.3
ABT1,43.23
ZNF322,5.584
GUSBP2,1.618
LINC00240,0.08443
PRSS16,1.543
POM121L2,0.08157
VN1R10P,0.0
ZNF204P,0.8846
ZNF391,5.334
ZNF184,15.6
LINC01012,7.114
OR2B2,0.0
OR2B6,1.888
ZNF165,3.506
ZSCAN12P1,0.3715
ZSCAN16-AS1,7.6
ZSCAN16,12.58
ZKSCAN8,41.31
ZSCAN9,14.71
ZKSCAN4,15.84
NKAPL,0.9181
ZSCAN26,15.62
PGBD1,5.163
ZSCAN31,1.407
ZKSCAN3,5.382
ZSCAN12,12.1
ZSCAN23,3.271
GPX5,0.0
ZBED9,1.996
TRIM27,50.99
ZNF311,0.3007
OR2W1,0.0
OR2B3,0.0
OR2J3,0.0
OR2J2,0.0
OR2H4P,0.0
OR14J1,0.0
OR5V1,0.0
OR12D3,0.07319
OR12D2,0.0
OR11A1,0.0
OR10C1,0.0
OR2H1,0.0
MAS1L,0.0
LINC01015,0.0476
OR2H2,0.08636
GABBR1,9.305
MOG,0.0
ZFP57,0.0
HLA-F,208.6
HLA-F-AS1,7.372
HCG4,0.5221
HLA-G,4.21
HCP5B,0.0
HCG4B,1.897
HLA-A,2399.0
HCG9,0.4886
ZNRD1ASP,4.526
HLA-J,14.85
PPP1R11,59.45
RNF39,0.8958
TRIM31,0.0
TRIM40,0.0
TRIM10,0.0
TRIM15,0.06112
TRIM26,58.87
HCG18,7.719
HLA-E,1118.0
GNL1,25.05
PRR3,33.47
ABCF1,81.13
PPP1R10,44.74
MRPS18B,146.6
ATAT1,10.79
C6orf136,20.6
DHX16,35.53
PPP1R18,73.45
NRM,33.68
MDC1,50.77
TUBB,972.3
FLOT1,117.4
IER3,17.36
GTF2H4,36.57
VARS2,30.6
SFTA2,0.1153
HCG22,16.86
C6orf15,0.0
PSORS1C1,0.1371
CDSN,0.0
PSORS1C2,0.0
CCHCR1,22.09
TCF19,41.93
PSORS1C3,0.4614
HCG27,8.468
HLA-C,1928.0
HLA-B,4830.0
MICA,16.72
LINC01149,0.0
HCP5,98.25
MICB,47.51
ATP6V1G2,3.395
NFKBIL1,45.23
LTA,56.67
TNF,28.4
LTB,53.44
LST1,19.13
NCR3,10.74
AIF1,96.29
PRRC2A,146.9
BAG6,118.0
APOM,3.052
C6orf47,20.91
GPANK1,19.59
CSNK2B,334.8
LY6G5C,0.5927
ABHD16A,16.58
LY6G6E,0.1859
LY6G6C,0.248
DDAH2,7.48
CLIC1,319.2
VWA7,0.4227
LSM2,154.6
HSPA1L,2.151
NEU1,39.53
SLC44A4,0.08625
EHMT2,32.52
C2,2.611
ZBTB12,2.879
CFB,0.8547
SKIV2L,48.22
DXO,35.79
STK19,14.27
TNXB,1.117
ATF6B,99.49
FKBPL,10.73
AGPAT1,28.65
RNF5,105.2
AGER,11.41
PBX2,77.38
GPSM3,200.4
NOTCH4,1.688
BTNL2,0.09319
HLA-DRA,6169.0
HLA-DRB6,77.63
HLA-DRB1,1930.0
HLA-DQA1,722.3
HLA-DQB1,822.3
HLA-DQB2,59.43
HLA-DOB,64.06
TAP2,83.84
PSMB8,293.5
PSMB8-AS1,40.0
TAP1,215.2
PSMB9,463.0
HLA-DMB,221.6
HLA-DMA,209.9
BRD2,126.9
HLA-DOA,122.0
HLA-DPA1,844.4
HLA-DPB1,284.8
HLA-DPA2,0.0
HLA-DPB2,2.009
COL11A2,0.4567
RXRB,52.99
SLC39A7,63.69
HSD17B8,30.26
RING1,39.65
VPS52,31.65
RPS18,11740.0
B3GALT4,6.88
WDR46,64.78
RGL2,19.85
TAPBP,162.4
ZBTB22,20.51
DAXX,51.65
KIFC1,78.7
PHF1,55.81
CUTA,197.6
SYNGAP1,12.83
ZBTB9,0.0
BAK1,27.31
ITPR3,44.23
UQCC2,36.28
IP6K3,0.0
LEMD2,40.43
MLN,0.0
LINC01016,0.0
GRM4,0.05376
HMGA1,496.0
NUDT3,33.84
RPS10,1944.0
PACSIN1,0.04269
SPDEF,0.3931
SNRPC,190.5
UHRF1BP1,18.56
TAF11,64.15
ANKS1A,9.346
TCP11,0.4138
SCUBE3,0.2232
ZNF76,29.63
DEF6,60.34
PPARD,19.66
FANCE,11.46
RPL10A,2214.0
TEAD3,0.741
TULP1,0.0
FKBP5,38.38
ARMC12,2.074
CLPS,0.3414
LHFPL5,0.0
SRPK1,60.85
SLC26A8,0.06558
MAPK14,36.36
MAPK13,12.08
BRPF3,9.293
PNPLA1,0.0
ETV7,1.124
PXT1,0.5803
KCTD20,67.86
STK38,30.83
SRSF3,161.0
CDKN1A,168.5
CPNE5,2.978
PPIL1,55.76
C6orf89,24.13
PI16,0.44
MTCH1,142.2
FGD2,87.25
PIM1,103.9
TMEM217,1.083
TBC1D22B,36.51
RNF8,9.926
CMTR1,95.14
CCDC167,102.2
MDGA1,2.611
ZFAND3,67.47
BTBD9,3.242
GLO1,277.2
DNAH8,5.043
GLP1R,0.0
SAYSD1,6.056
KCNK5,2.222
KCNK17,0.0
KCNK16,0.0
KIF6,0.1268
DAAM2,0.5144
MOCS1,0.3544
TDRG1,0.0
LINC00951,0.0
LRFN2,0.0
UNC5CL,4.753
OARD1,31.9
TSPO2,0.4154
APOBEC2,0.416
NFYA,62.96
ADCY10P1,1.322
TREML1,0.0
TREM2,0.8745
TREML2,60.65
TREML3P,0.1399
TREML4,0.05044
TREML5P,0.475
TREM1,2.151
NCR2,22.72
FOXP4-AS1,1.831
FOXP4,32.57
MDFI,0.09104
TFEB,48.37
PGC,3.513
FRS3,3.629
USP49,10.8
MED20,15.08
BYSL,33.52
CCND3,14.57
TAF8,13.47
C6orf132,0.03993
GUCA1A,0.08276
GUCA1B,3.626
MRPS10,68.62
TRERF1,0.7165
UBR2,28.7
PRPH2,0.04597
TBCC,50.79
RPL7L1,73.2
C6orf226,14.62
PTCRA,0.1757
CNPY3,62.96
GNMT,0.3223
PEX6,35.57
PPP2R5D,56.89
MEA1,94.05
KLHDC3,74.29
RRP36,31.19
CUL7,36.39
KLC4,12.39
MRPL2,47.82
PTK7,6.648
SRF,51.13
CUL9,19.32
DNPH1,109.6
TTBK1,0.02735
SLC22A7,0.2834
CRIP3,7.03
ZNF318,190.1
ABCC10,13.68
DLK2,3.33
TJAP1,20.0
LRRC73,0.0
YIPF3,55.53
POLR1C,42.18
XPO5,49.99
SCARNA15,0.5386
POLH,48.82
GTPBP2,42.65
MAD2L1BP,34.09
RSPH9,0.7086
MRPS18A,69.81
VEGFA,80.87
MRPL14,88.44
TMEM63B,21.85
CAPN11,0.6254
SLC29A1,95.36
HSP90AB1,2029.0
NFKBIE,186.4
TMEM151B,0.121
TCTE1,0.0
AARS2,22.22
SPATS1,0.0
CDC5L,26.24
SUPT3H,1.52
RUNX2,0.1837
CLIC5,0.8743
ENPP4,45.79
ENPP5,8.822
RCAN2,0.258
CYP39A1,0.0
SLC25A27,0.1248
TDRD6,0.2834
PLA2G7,7.46
MEP1A,0.0
ADGRF5,0.06171
ADGRF1,0.0
TNFRSF21,0.3805
CD2AP,66.42
ADGRF2,0.2382
ADGRF4,1.197
OPN5,0.02691
PTCHD4,0.01321
CENPQ,31.65
C6orf141,0.1279
RHAG,0.0
CRISP2,0.0
CRISP3,0.3348
PGK2,0.08256
CRISP1,0.0342
DEFB114,0.0
TFAP2D,0.0
TFAP2B,0.0
FTH1P5,0.3765
PKHD1,0.0
IL17A,0.0
IL17F,0.0
MCM3,151.7
PAQR8,23.34
EFHC1,1.415
TRAM2,16.62
TRAM2-AS1,5.266
TMEM14A,35.65
GSTA1,0.0
GSTA3,0.0
GSTA4,2.233
FBXO9,21.88
GCM1,0.04947
ELOVL5,130.8
RPS16P5,0.8465
GCLC,12.45
KLHL31,0.1191
LRRC1,0.5469
MLIP,0.0
TINAG,0.0
FAM83B,0.0
HCRTR2,0.0
HMGCLL1,0.0
BMP5,0.0
COL21A1,0.0
DST,1.891
BEND6,0.1102
KIAA1586,20.75
ZNF451,13.45
BAG2,18.39
RAB23,3.938
PRIM2,20.86
GUSBP4,6.107
KHDRBS2,0.1892
LGSN,0.0
PTP4A1,84.0
PHF3,41.09
EYS,0.1549
ADGRB3,0.0
LMBRD1,52.11
COL19A1,6.59
COL9A1,0.0
FAM135A,11.61
SDHAF4,23.27
SMAP1,10.22
B3GAT2,0.9707
OGFRL1,8.467
LINC00472,0.01987
RIMS1,0.0
KCNQ5,22.94
KHDC1L,0.0
KHDC1,1.841
DPPA5,0.1007
KHDC3L,0.0
OOEP,0.0
DDX43,0.1718
MTO1,7.766
EEF1A1,7454.0
SLC17A5,13.11
CD109,2.215
COL12A1,0.2376
COX7A2,147.6
TMEM30A,146.8
FILIP1,0.1757
SENP6,35.49
MYO6,3.924
IMPG1,0.03599
HTR1B,0.0
IRAK1BP1,2.368
PHIP,32.14
HMGN3,188.4
HMGN3-AS1,2.186
LCA5,0.3555
SH3BGRL2,0.0735
ELOVL4,0.08994
TTK,33.85
BCKDHB,25.07
LINC01526,0.0
IBTK,43.91
TPBG,0.5746
UBE3D,1.359
PGM3,12.91
RWDD2A,6.796
ME1,7.264
PRSS35,0.0
SNAP91,0.0
RIPPLY2,0.0
CYB5R4,10.16
MRAP2,0.2224
CEP162,6.611
TBX18,0.0327
TBX18-AS1,0.03303
NT5E,12.37
SNX14,37.55
SYNCRIP,90.67
HTR1E,0.0
CGA,0.0
ZNF292,52.81
SMIM8,5.918
C6orf163,1.254
CFAP206,0.2097
SLC35A1,28.54
RARS2,36.47
ORC3,40.29
AKIRIN2,169.8
SPACA1,0.0
CNR1,1.248
RNGTT,37.09
PNRC1,102.5
SRSF12,0.08623
PM20D2,31.9
GABRR1,0.0
GABRR2,2.623
UBE2J1,161.0
RRAGD,71.11
ANKRD6,1.794
LYRM2,14.03
MDN1,26.92
CASP8AP2,15.55
GJA10,0.0
BACH2,2.542
MAP3K7,32.81
CASC6,0.1866
EPHA7,0.0
