gene,tpm
PIGV,11.14
ZDHHC18,34.73
SFN,1.036
GPN2,22.38
GPATCH3,12.34
NUDC,112.1
NR0B2,0.0
KDF1,0.07629
TRNP1,0.1038
SLC9A1,9.974
WDTC1,56.11
TMEM222,26.88
SYTL1,48.0
MAP3K6,2.411
FCN3,0.2656
GPR3,1.488
WASF2,107.0
AHDC1,8.238
FGR,57.02
IFI6,153.4
FAM76A,7.562
STX12,32.37
PPP1R8,57.82
THEMIS2,65.35
RPA2,114.5
SMPDL3B,1.386
XKR8,6.186
EYA3,25.45
PTAFR,9.869
DNAJC8,118.4
SESN2,33.26
PHACTR4,19.31
RCC1,67.0
TRNAU1AP,10.46
TAF12,18.7
RAB42,0.8083
GMEB1,9.689
YTHDF2,64.18
OPRD1,0.0465
EPB41,25.45
TMEM200B,0.03386
SRSF4,159.1
MECR,12.85
PTPRU,0.1433
MATN1,0.3991
MATN1-AS1,5.857
LAPTM5,590.2
SDC3,0.7356
PUM1,49.37
NKAIN1,0.0
SNRNP40,35.14
ZCCHC17,34.34
FABP3,10.73
SERINC2,1.869
LINC01226,0.492
TINAGL1,0.3238
HCRTR1,0.0
PEF1,101.3
COL16A1,10.3
ADGRB2,0.5194
SPOCD1,0.03204
PTP4A2,114.6
KHDRBS1,218.4
TMEM39B,15.55
KPNA6,40.86
TXLNA,78.06
CCDC28B,29.28
IQCC,8.513
DCDC2B,0.7209
TMEM234,9.625
EIF3I,385.4
MTMR9LP,0.7623
FAM167B,0.8038
LCK,69.93
HDAC1,156.0
MARCKSL1,656.7
TSSK3,4.513
FAM229A,4.112
BSDC1,31.3
ZBTB8B,0.01066
ZBTB8A,0.1389
ZBTB8OS,25.83
RBBP4,93.0
SYNC,0.2688
KIAA1522,0.1653
S100PBP,20.39
FNDC5,0.6973
HPCA,0.3138
TMEM54,1.754
RNF19B,26.63
AK2,134.1
AZIN2,0.1877
TRIM62,3.487
ZNF362,18.19
PHC2,21.14
ZSCAN20,2.178
CSMD2,0.007534
HMGB4,0.02671
CSMD2-AS1,0.0
C1orf94,0.0
SMIM12,8.538
GJB5,0.0
GJB4,0.0
GJB3,0.05731
GJA4,0.3984
DLGAP3,0.9975
ZMYM6,17.41
ZMYM1,3.003
SFPQ,214.7
ZMYM4,24.11
KIAA0319L,61.7
NCDN,33.47
TFAP2E,2.176
PSMB2,74.09
C1orf216,13.17
CLSPN,10.4
AGO4,11.33
AGO1,19.09
AGO3,6.585
TEKT2,0.6224
COL8A2,0.1465
TRAPPC3,29.52
MAP7D1,53.65
THRAP3,128.3
SH3D21,9.155
EVA1B,6.755
STK40,34.58
LSM10,40.92
OSCP1,1.287
MRPS15,58.26
CSF3R,0.3008
GRIK3,0.0
MEAF6,44.08
SNIP1,13.76
DNALI1,0.06198
GNL2,45.75
