idx	gene_symbol
394	ALDH5A1
395	ALDH6A1
396	ALDH7A1
397	ALDH8A1
398	ALDH9A1
399	ALDOA
400	ALDOB
401	ALDOC
402	ALG1
403	ALG12
404	ALG13
405	ALG14
406	ALG2
407	ALG3
408	ALG5
409	ALG6
410	ALG8
411	ALG9
412	ALKBH1
413	ALKBH2
414	ALKBH3
415	ALKBH4
416	ALKBH5
417	ALKBH6
418	ALKBH7
419	ALKBH8
420	ALLC
421	ALMS1
422	ALOX12
423	ALOX12-AS1
424	ALOX15
425	ALOX15B
426	ALOX5
427	ALOX5AP
428	ALPI
429	ALPK1
430	ALPK3
431	ALPL
432	ALPP
433	ALS2
434	ALS2CL
435	ALX3
436	ALYREF
437	AMACR
438	AMBRA1
439	AMD1
440	AMDHD1
441	AMELY
442	AMER1
443	AMER2
444	AMFR
445	AMIGO1
446	AMIGO2
447	AMMECR1
448	AMMECR1L
449	AMN1
450	AMOT
451	AMOTL1
452	AMOTL2
453	AMPD2
454	AMPD3
455	AMPH
456	AMT
457	AMZ1
458	AMZ2
459	ANAPC10
460	ANAPC11
461	ANAPC13
462	ANAPC15
463	ANAPC16
464	ANAPC2
465	ANAPC4
466	ANAPC5
467	ANG
468	ANGEL1
469	ANGEL2
470	ANGPT1
471	ANGPT2
472	ANGPTL2
473	ANGPTL4
474	ANGPTL7
475	ANK1
476	ANK2
477	ANK3
478	ANKDD1A
479	ANKEF1
480	ANKFY1
481	ANKH
482	ANKHD1
483	ANKLE2
484	ANKMY1
485	ANKMY2
486	ANKRA2
487	ANKRD10
488	ANKRD11
489	ANKRD12
490	ANKRD13A
491	ANKRD13C
492	ANKRD13D
493	ANKRD16
494	ANKRD17
495	ANKRD2
496	ANKRD20A11P
497	ANKRD22
498	ANKRD23
499	ANKRD26
500	ANKRD27
501	ANKRD28
502	ANKRD33
503	ANKRD35
504	ANKRD36B
505	ANKRD36BP2
506	ANKRD37
507	ANKRD39
508	ANKRD44
509	ANKRD46
510	ANKRD49
